1,1,5,"2009-06-07 05:38:00","2009-06-07 05:38:00","opening","","",0.0000,"N",\N,\N
2,2,5,"2009-06-09 05:39:00","2009-06-09 05:39:00","followups17","","",0.0000,"N",\N,\N
3,2,5,"2009-06-09 05:40:00","2009-06-09 05:40:00","followups31","","",0.0000,"N",\N,\N
4,3,5,"2009-06-09 05:41:00","2009-06-09 05:41:00","followups17","","",0.0000,"N",\N,\N
5,3,5,"2009-06-09 05:41:00","2009-06-09 05:41:00","followups18","","",0.0000,"N",\N,\N
6,1,5,"2009-06-09 05:50:00","2009-06-09 05:50:00","followups34","Remember to put the cat out","",0.0000,"N",\N,\N
7,1,8,"2009-06-09 05:54:00","2009-06-09 05:54:00","followups01","Don't forget the eggs!","",0.0000,"N",\N,\N
8,4,5,"2009-06-10 01:26:00","2009-06-10 01:26:00","opening","","",0.0000,"N",\N,\N
9,5,5,"2009-06-10 01:26:00","2009-06-10 01:26:00","followups17","","",0.0000,"N",\N,\N
10,5,5,"2009-06-10 01:26:00","2009-06-10 01:26:00","followups31","","",0.0000,"N",\N,\N
11,5,5,"2009-06-10 01:27:00","2009-06-10 01:27:00","followups20","","",0.0000,"N",\N,\N
12,6,5,"2009-06-10 01:27:00","2009-06-10 01:27:00","followups17","","",0.0000,"N",\N,\N
13,6,5,"2009-06-10 01:27:00","2009-06-10 01:27:00","followups18","","",0.0000,"N",\N,\N
14,6,5,"2009-06-10 01:29:00","2009-06-10 01:29:00","followups23","","",0.0000,"N",\N,\N
15,6,5,"2009-06-10 01:35:00","2009-06-10 01:35:00","followups26","","",0.0000,"N",\N,\N
16,6,5,"2009-06-10 01:36:00","2009-06-10 01:36:00","followups23","","",0.0000,"N",\N,\N
17,6,5,"2009-06-10 01:39:00","2009-06-10 01:39:00","followups26","","",0.0000,"N",\N,\N
18,6,5,"2009-06-10 01:42:00","2009-06-10 01:42:00","followups23","","",0.0000,"N",\N,\N
19,6,5,"2009-06-10 01:50:00","2009-06-10 01:50:00","followups26","","",0.0000,"N",\N,\N
20,3,5,"2009-06-10 01:51:00","2009-06-10 01:51:00","followups23","","",0.0000,"N",\N,\N
21,6,5,"2009-06-10 01:51:00","2009-06-10 01:51:00","followups23","","",0.0000,"N",\N,\N
22,6,5,"2009-06-10 01:53:00","2009-06-10 01:53:00","followups24","","",0.0000,"N",\N,\N
23,5,5,"2009-06-10 01:53:00","2009-06-10 01:53:00","followups22","Moving into ASSIST housing automatically terminates Pannel support.","",0.0000,"N",\N,\N
